#TAG,NAME,PURPOSE
xorg-server,xorg-server,is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs.
xorg-xwininfo,xorg-xwininfo,allows querying information about windows.
xorg-xinit,xorg-xinit,starts the graphical server.
polkit,polkit,manages user policies.
ttf-linux-libertine,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
ttf-font-awesome,ttf-font-awesome,provides extended glyph support.
A,lf-git,is an extensive terminal file manager that everyone likes.
ueberzug,ueberzug,enables previews in the lf file manager.
bc,bc,is a mathematics language used for the dropdown calculator.
xcompmgr,xcompmgr,is for transparency and removing screen-tearing.
xorg-xprop,xorg-xprop,is a tool for detecting window properties.
arandr,arandr,allows the user to customize monitor arrangements.
dosfstools,dosfstools,allows your computer to access dos-like filesystems.
libnotify,libnotify,allows desktop notifications.
dunst,dunst,is a suckless notification system.
exfat-utils,exfat-utils,allows management of FAT drives.
sxiv,sxiv,is a minimalist image viewer.
xwallpaper,xwallpaper,sets the wallpaper.
ffmpeg,ffmpeg,can record and splice video and audio on the command line.
ffmpegthumbnailer,ffmpegthumbnailer,creates thumbnail previews of video files.
gnome-keyring,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,provides the dark GTK theme used in LARBS.
python-qdarkstyle,python-qdarkstyle,provides a dark Qt theme.
neovim,neovim,a tidier vim with some useful features
mpd,mpd,is a lightweight music daemon.
mpc,mpc,is a terminal interface for mpd.
mpv,mpv,is the patrician's choice video player.
man-db,man-db,lets you read man pages of programs.
ncmpcpp,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
newsboat,newsboat,is a terminal RSS client.
A,librewolf-bin,is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default.
A,arkenfox-user.js,provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting.
noto-fonts,noto-fonts,is an expansive font package.
noto-fonts-emoji,noto-fonts-emoji,is an emoji font.
ntfs-3g,ntfs-3g,allows accessing NTFS partitions.
wireplumber,wireplumber,is the audio system.
pipewire-pulse,pipewire-pulse,gives pipewire compatibility with PulseAudio programs.
pulsemixer,pulsemixer,is an audio controller.
A,sc-im,is an Excel-like terminal spreadsheet manager.
maim,maim,can take quick screenshots at your request.
A,abook,is an offline addressbook usable by neomutt.
unclutter,unclutter,hides an inactive mouse.
unzip,unzip,unzips zips.
lynx,lynx,is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files.
xcape,xcape,gives the special escape/super mappings of LAR
xclip,xclip,allows for copying and pasting from the command line.
xdotool,xdotool,provides window action utilities on the command line.
yt-dlp,yt-dlp,can download any YouTube video (or playlist or channel) when given the link.
zathura,zathura,is a pdf viewer with vim-like bindings.
zathura-pdf-mupdf,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
poppler,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
mediainfo,mediainfo,shows audio and video information and is used in the file browser.
atool,atool,manages and gives information about archives.
fzf,fzf,is a fuzzy finder tool used for easy selection and location of files.
bat,bat,can highlight code output and display files and is used to generate previews in the file browser.
xorg-xbacklight,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting-git,provides syntax highlighting in the shell.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
A,htop-vim,is a graphical and colorful system monitor.
A,mutt-wizard-git,is a light-weight terminal-based email system.
slock,slock,allows you to lock your computer, and quickly unlock with your password.
socat,socat,is a utility which establishes two byte streams and transfers data between them.
moreutils,moreutils,is a collection of useful unix tools.
